,,,Salary,Salary,Salary,Salary,Salary,Salary,,#NAME?
48,Immanuel Quickley,TOR,"$32,500,000 ","$32,500,000 ","$32,500,000 ","$32,500,000 ","$32,500,000 ",,"$162,500,000 ",quickim01
49,Khris Middleton,WAS,"$31,000,000 ","$33,296,296 ",,,,,"$31,000,000 ",middlkh01
50,Jrue Holiday,BOS,"$30,000,000 ","$32,400,000 ","$34,800,000 ","$37,200,000 ",,,"$97,200,000 ",holidjr01
51,Isaiah Hartenstein,OKC,"$30,000,000 ","$28,500,000 ","$28,500,000 ",,,,"$58,500,000 ",harteis01
52,Jerami Grant,POR,"$29,793,104 ","$32,000,001 ","$34,206,898 ","$36,413,790 ",,,"$96,000,003 ",grantje01
53,Jordan Poole,WAS,"$29,651,786 ","$31,848,215 ","$34,044,642 ",,,,"$95,544,643 ",poolejo01
54,Dejounte Murray,NOP,"$29,517,135 ","$31,557,103 ","$33,597,072 ","$31,619,506 ",,,"$94,671,310 ",murrade01
55,Devin Vassell,SAS,"$29,347,826 ","$27,000,000 ","$27,000,000 ","$24,652,174 ","$27,000,000 ",,"$135,000,000 ",vassede01
56,Kristaps Porziņģis,BOS,"$29,268,293 ","$30,731,707 ",,,,,"$60,000,000 ",porzikr01
57,Tyler Herro,MIA,"$29,000,000 ","$31,000,000 ","$33,000,000 ",,,,"$93,000,000 ",herroty01
58,Nic Claxton,BRK,"$27,556,817 ","$25,352,272 ","$23,147,727 ","$20,943,184 ",,,"$97,000,000 ",claxtni01
59,Miles Bridges,CHO,"$27,173,913 ","$25,000,000 ","$22,826,087 ",,,,"$75,000,000 ",bridgmi02
60,John Collins,UTA,"$26,580,000 ","$26,580,000 ",,,,,"$26,580,000 ",collijo01
61,Andrew Wiggins,MIA,"$26,276,786 ","$28,223,215 ","$30,169,644 ",,,,"$54,500,001 ",wiggian01
62,Anfernee Simons,POR,"$25,892,857 ","$27,678,571 ",,,,,"$53,571,428 ",simonan01
63,RJ Barrett,TOR,"$25,794,643 ","$27,705,357 ","$29,616,071 ",,,,"$83,116,071 ",barrerj01
64,Tobias Harris,DET,"$25,365,854 ","$26,634,146 ",,,,,"$52,000,000 ",harrito02
65,Jaren Jackson Jr.,MEM,"$25,257,798 ","$23,413,395 ",,,,,"$48,671,193 ",jacksja02
