Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48?,OBPM,DBPM,BPM,VORP,Awards,Player-additional
50,Chris Paul,38,GSW,PG,58,18,1531,14.7,0.544,0.45,0.111,1.3,14.4,7.9,33.4,2.2,0.4,13.4,15.6,2.6,1.7,4.3,0.136,-0.2,1.2,1,1.2,,paulch01
51,Donte DiVincenzo,27,NYK,SG,81,63,2360,16,0.597,0.702,0.114,3,11.2,7.1,13.7,2.3,1.4,9.7,21.3,3.6,3,6.6,0.135,2.5,0.9,3.4,3.2,,divindo01
52,Sam Hauser,26,BOS,SF,79,13,1741,13,0.629,0.833,0.034,2.9,13.7,8.6,6.2,1.1,1.3,5.3,15,2.7,2.1,4.9,0.134,1.2,0,1.2,1.4,,hausesa01
53,Myles Turner,27,IND,C,77,77,2076,19.3,0.626,0.356,0.349,6.2,22.9,14.5,6.4,0.9,5.5,9.4,23.4,3.6,2.2,5.8,0.134,1,-0.1,0.9,1.5,,turnemy01
54,Jrue Holiday,33,BOS,PG,69,69,2263,14.4,0.597,0.467,0.104,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,3.3,3,6.3,0.133,1,1.1,2.1,2.4,DPOY-6,holidjr01
55,Kelly Olynyk,32,2TM,C,78,27,1759,17.4,0.661,0.312,0.362,6.7,19,12.9,27.6,2,1.5,20.9,17.5,3.5,1.4,4.9,0.133,0.7,1.1,1.8,1.7,,olynyke01
56,Jusuf Nurki?,29,PHO,C,76,76,2078,17.4,0.559,0.144,0.416,12.8,31.7,22.8,19.9,1.9,3.4,19.1,19.1,2,3.8,5.8,0.133,-1,2.1,1.1,1.6,,nurkiju01
57,Obi Toppin,25,IND,PF,82,28,1730,16.5,0.677,0.437,0.173,5.6,15.4,10.5,9.4,1.3,2,10,16.8,3.6,1.1,4.8,0.132,1.8,-0.3,1.5,1.5,,toppiob01
58,CJ McCollum,32,NOP,PG,66,66,2159,17.9,0.592,0.528,0.132,2,12.6,7.4,21.4,1.4,1.9,9,24.7,3.5,2.4,5.9,0.132,3.3,-0.3,3.1,2.8,,mccolcj01
59,Grayson Allen,28,PHO,SG,75,74,2513,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2,,allengr01
