Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48?,OBPM,DBPM,BPM,VORP,Awards,Player-additional
138,Malik Beasley,27,MIL,SG,79,77,2337,10.3,0.603,0.751,0.048,2,11.4,6.8,6.1,1.2,0.3,6.8,14.6,1.9,1.6,3.5,0.073,-1,-0.8,-1.8,0.1,,beaslma01
139,Josh Green,23,DAL,SG,57,33,1505,9.9,0.588,0.5,0.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,1,1.2,2.2,0.071,-2.4,-0.3,-2.7,-0.3,,greenjo02
140,Keldon Johnson,24,SAS,SF,69,27,2038,14.2,0.565,0.426,0.256,5,15.1,10,14.2,1.2,0.8,9.4,21.9,1.5,1.5,3,0.071,-0.3,-1.4,-1.7,0.2,,johnske04
141,Jerami Grant,29,POR,PF,54,54,1830,15.4,0.573,0.325,0.367,2.1,10,5.8,13.8,1.2,1.7,10.5,25.7,1.7,1,2.7,0.071,1,-1.1,-0.1,0.9,,grantje01
142,Andrew Wiggins,28,GSW,SF,71,59,1920,12.7,0.544,0.326,0.242,6.2,11.8,9,8.6,1.1,1.9,9.2,20.9,1.2,1.6,2.8,0.07,-1.4,-1.2,-2.5,-0.3,,wiggian01
143,Mikal Bridges,27,BRK,SF,82,82,2854,14.9,0.56,0.457,0.245,2.5,12,7.1,16.3,1.4,0.9,10.3,24.3,2.1,2.1,4.2,0.07,0.7,-1,-0.4,1.2,,bridgmi01
144,Kelly Oubre Jr.,28,PHI,SF,68,52,2055,13.5,0.535,0.37,0.264,5,13.5,9.2,7.3,1.8,2.1,8.2,22.4,0.6,2.4,3,0.07,-1.5,-0.7,-2.3,-0.1,,oubreke01
145,Santi Aldama,23,MEM,PF,61,35,1618,13.1,0.539,0.535,0.153,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,0.4,2,2.4,0.07,-0.7,0.4,-0.2,0.7,,aldamsa01
146,Deni Avdija,23,WAS,SF,75,75,2257,14.9,0.597,0.293,0.34,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,1.7,1.5,3.2,0.068,-0.7,-0.2,-0.9,0.6,,avdijde01
147,Anfernee Simons,24,POR,SG,46,46,1582,15.9,0.568,0.484,0.213,1.5,10.9,5.9,27.6,0.7,0.3,12.1,28,1.7,0.5,2.2,0.068,2.7,-2.5,0.2,0.8,,simonan01
148,Jaren Jackson Jr.,24,MEM,C,66,66,2124,17.4,0.552,0.315,0.359,4.2,15,9.4,13.1,1.8,4.7,10.6,30.4,0.2,2.8,3,0.067,0,0.4,0.4,1.3,,jacksja02
149,Darius Garland,24,CLE,PG,57,57,1901,14.5,0.56,0.423,0.208,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,0.7,2,2.7,0.067,0.2,-1.2,-1,0.5,,garlada01
150,Russell Westbrook,35,LAC,PG,68,11,1529,16.2,0.514,0.232,0.241,7.1,17.8,12.7,29.2,2.4,1.4,16.4,25.2,0.2,1.9,2.1,0.066,-0.2,0.7,0.5,1,6MOY-7,westbru01
151,Caleb Martin,28,MIA,SF,64,23,1756,10.8,0.531,0.415,0.177,4.7,13.5,9.1,11.8,1.3,1.6,11.3,17.3,0.2,2.2,2.4,0.066,-2.2,0.2,-2,0,,martica02
152,Dorian Finney-Smith,30,BRK,PF,68,56,1934,10.1,0.546,0.658,0.09,6,12.1,9,7.6,1.4,1.8,10,13.2,1,1.6,2.6,0.065,-2,-0.1,-2,0,,finnedo01
153,Georges Niang,30,CLE,PF,82,10,1831,9.9,0.583,0.627,0.095,1.4,15.5,8.5,7.5,0.8,0.9,9.9,17.6,0.5,2,2.4,0.064,-2.5,-0.4,-2.9,-0.4,,niangge01
154,Eric Gordon,35,PHO,SG,68,24,1893,10.8,0.58,0.642,0.104,1,6,3.6,10,1.7,1.4,10.2,16.5,1,1.5,2.5,0.063,-1.3,-0.5,-1.7,0.1,,gordoer01
155,Dennis Schröder,30,2TM,PG,80,58,2486,13.3,0.55,0.397,0.23,1.7,9.2,5.3,28,1.2,0.6,13,20.3,2.3,1,3.3,0.063,-0.5,-1.3,-1.8,0.1,,schrode01
156,De'Andre Hunter,26,ATL,SF,57,37,1681,12.7,0.595,0.459,0.296,1.9,12.9,7.2,7.3,1.1,0.9,10,20.6,1.6,0.6,2.2,0.062,-0.9,-1.5,-2.4,-0.2,,huntede01
157,Simone Fontecchio,28,2TM,SF,66,43,1644,12.1,0.6,0.609,0.12,4.3,12.2,8.3,8.7,1.3,1.2,10.5,16.5,1.5,0.6,2.1,0.061,0,-1,-1,0.4,,fontesi01
158,Grant Williams,25,2TM,PF,76,43,2130,10.6,0.588,0.555,0.231,4.4,12.2,8.3,11.3,1,1.6,14.1,15.9,1.3,1.3,2.6,0.059,-1.9,-0.7,-2.6,-0.3,,willigr01
159,Cam Thomas,22,BRK,SG,66,51,2075,16.1,0.554,0.333,0.281,1.4,10.1,5.6,15.7,1.1,0.7,8.5,30.5,1.3,1.2,2.5,0.058,0.7,-1.9,-1.2,0.4,,thomaca02
160,Dillon Brooks,28,HOU,SF,72,72,2227,9.4,0.549,0.482,0.191,2.5,9.4,5.9,7.5,1.4,0.4,9.6,17.6,0.6,2.1,2.7,0.058,-3.3,-0.3,-3.6,-0.9,,brookdi01
161,Bruce Brown,27,2TM,SG,67,44,1866,11.6,0.563,0.282,0.244,3.1,14,8.5,13.2,1.5,0.8,11.8,16.5,1.2,1,2.2,0.058,-2.4,-1,-3.3,-0.6,,brownbr01
162,Andrew Nembhard,24,IND,PG,68,47,1697,11.3,0.573,0.328,0.107,2.4,7,4.7,20,1.8,0.3,15.6,16,1.3,0.7,2,0.057,-1.6,-0.5,-2.2,-0.1,,nembhan01
163,Zach Collins,26,SAS,C,69,29,1526,14.3,0.565,0.294,0.263,8.3,18,13.1,18.9,1.1,2.8,16.1,22.7,0.4,1.5,1.8,0.057,-2,-0.1,-2,0,,colliza01
164,Jalen Green,21,HOU,SG,82,82,2601,14.7,0.541,0.454,0.264,1.7,15.9,8.7,17.3,1.2,1,11.4,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1,,greenja05
165,Reggie Jackson,33,DEN,PG,82,23,1817,11.7,0.521,0.376,0.13,2.1,7.2,4.7,23,1.2,0.6,11.7,21.7,0.6,1.5,2.1,0.056,-1.8,-1.5,-3.2,-0.6,,jacksre01
166,Toumani Camara,23,POR,PF,70,49,1739,10.6,0.547,0.393,0.226,8.4,14,11,7.2,1.9,1.7,14.9,13.8,0.6,1.4,2,0.055,-3.1,0,-3.1,-0.5,,camarto01
167,Ausar Thompson,21,DET,SF,63,38,1583,12.8,0.522,0.235,0.248,8.9,19.6,14.2,10.8,2.1,3.2,13.6,16.6,0.1,1.7,1.8,0.053,-2.8,0.6,-2.2,-0.1,,thompau01
168,Tim Hardaway Jr.,31,DAL,SF,79,12,2120,12.1,0.542,0.612,0.173,1.1,11.9,6.5,9.2,1,0.2,6.2,22.6,0.8,1.4,2.2,0.05,-0.8,-2.1,-2.9,-0.5,6MOY-9,hardati02
169,Corey Kispert,24,WAS,SF,80,22,2067,12.8,0.62,0.605,0.198,1.5,10.3,5.8,10.7,0.9,0.6,10.2,19.6,1.7,0.4,2.1,0.048,-0.2,-2,-2.1,-0.1,,kispeco01
170,Bennedict Mathurin,21,IND,SF,59,19,1538,13,0.562,0.323,0.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,0.8,0.7,1.4,0.045,-1.2,-2.3,-3.4,-0.6,,mathube01
171,Taurean Prince,29,LAL,PF,78,49,2108,8.8,0.579,0.622,0.119,1.2,10.5,6.1,7.2,1.3,1.4,10.8,13.8,0.3,1.7,1.9,0.043,-2.6,-0.2,-2.8,-0.4,,princta02
172,Cade Cunningham,22,DET,PG,62,62,2074,17.1,0.546,0.287,0.235,1.7,12.9,7.2,37.5,1.3,0.9,14.1,30.8,0.7,1,1.8,0.041,2,-1.6,0.3,1.2,,cunnica01
173,Gary Trent Jr.,25,TOR,SG,71,41,1994,12,0.548,0.535,0.113,1.4,9.2,5.2,8.6,1.9,0.4,5,20,0.8,0.9,1.7,0.04,-1.2,-1.4,-2.6,-0.3,,trentga02
174,P.J. Washington,25,2TM,PF,73,45,2221,12.2,0.537,0.509,0.179,4.2,16.5,10.3,9.3,1.6,2.4,9.9,19.1,0,1.9,1.9,0.04,-1.7,-0.4,-2.1,-0.1,,washipj01
175,Miles Bridges,25,CHO,SF,69,67,2581,15.4,0.556,0.372,0.174,3,19.5,11,14.6,1.2,1.2,9.6,24.7,0.7,1.4,2.2,0.04,0.2,-1.3,-1.1,0.6,,bridgmi02
176,Jeremy Sochan,20,SAS,PF,74,73,2193,11.4,0.513,0.293,0.186,6.7,16.9,11.7,16,1.3,1.5,14.3,18.8,-0.5,1.9,1.4,0.03,-2.8,-0.6,-3.4,-0.8,,sochaje01
177,Brandon Miller,21,CHO,SF,74,68,2383,13,0.552,0.455,0.16,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,-0.3,1,0.8,0.015,-0.9,-1.6,-2.6,-0.3,ROY-3,millebr02
178,Bilal Coulibaly,19,WAS,SF,63,15,1715,8.9,0.543,0.428,0.303,3.4,12.8,8,8.2,1.6,2.3,15.1,14.2,-0.5,0.9,0.4,0.013,-3.6,-0.5,-4.2,-0.9,,coulibi01
179,Jaden Ivey,21,DET,SG,77,61,2217,12.4,0.536,0.379,0.311,4.3,9.1,6.6,20.2,1.2,1.6,14.7,24.9,-0.5,1,0.5,0.01,-1.4,-1.7,-3.1,-0.6,,iveyja01
180,Jordan Clarkson,31,UTA,SG,55,19,1682,12.7,0.521,0.379,0.246,3.2,9,6.2,24.6,1,0.3,13.9,26.1,0.1,0.1,0.2,0.006,-1.3,-3.2,-4.5,-1.1,,clarkjo01
181,Kyle Kuzma,28,WAS,PF,70,70,2281,15.7,0.547,0.343,0.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,-1,1.1,0.2,0.004,0.5,-1.6,-1.1,0.5,,kuzmaky01
182,Ochai Agbaji,23,2TM,SG,78,28,1641,7.7,0.497,0.487,0.129,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,-0.5,0.6,0.1,0.002,-3.5,-0.9,-4.4,-1,,agbajoc01
183,Keyonte George,20,UTA,PG,75,44,2023,10.4,0.533,0.54,0.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,-0.4,0.1,-0.3,-0.008,-1.5,-2.9,-4.4,-1.2,,georgke01
184,Malaki Branham,20,SAS,PG,75,29,1594,8.7,0.526,0.427,0.1,1.9,8.2,5,14,0.8,0.4,12.2,19.8,-0.9,0.6,-0.3,-0.008,-3.4,-2.2,-5.6,-1.5,,branhma01
185,Jordan Poole,24,WAS,SG,78,66,2346,12.1,0.529,0.476,0.185,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,-1.5,0.8,-0.6,-0.013,-2,-1.9,-3.9,-1.2,,poolejo01
186,Scoot Henderson,19,POR,PG,62,32,1765,9.5,0.489,0.336,0.256,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,-2.5,0.9,-1.7,-0.045,-3.5,-2.3,-5.8,-1.7,,hendesc01
,League Average,,,,,,,,0.58,0.395,0.244,4.8,15.2,10,16.2,1.5,1.9,11.6,19.9,,,,,,,,,,-9999
